"set","n","result","instance","D","runtime","seed"
"BBGRL",1000,967,"1000_ep0.0075_0_gilbert_8.in",4,167.3628,1503718243731065344
"BBGRL",1000,958,"1000_ep0.0075_0_gilbert_8.in",5,167.2243,1503718412876340992
"BBGRL",1000,953,"1000_ep0.0075_0_gilbert_8.in",6,167.5031,1503718582037755392
"BBGRL",1000,5,"1000_ep0.0075_0_gilbert_8.in",7,85.3127,1503718751321724672
"BBGRL",1000,2,"1000_ep0.0075_0_gilbert_8.in",8,12.3982,1503718838458388992
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_8.in",9,9.7628,1503718852889518592
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_8.in",10,9.4841,1503718864492738048
"BBGRL",1000,992,"1000_ep0.0075_0_gilbert_9.in",1,59.9107,1503718875972683264
"BBGRL",1000,984,"1000_ep0.0075_0_gilbert_9.in",2,74.8074,1503718937951809024
"BBGRL",1000,978,"1000_ep0.0075_0_gilbert_9.in",3,167.2589,1503719014793874688
"BBGRL",1000,971,"1000_ep0.0075_0_gilbert_9.in",4,167.0984,1503719183960922368
"BBGRL",1000,961,"1000_ep0.0075_0_gilbert_9.in",5,167.2742,1503719352840901120
"BBGRL",1000,951,"1000_ep0.0075_0_gilbert_9.in",6,167.2039,1503719522319684096
"BBGRL",1000,945,"1000_ep0.0075_0_gilbert_9.in",7,168.1242,1503719691408465408
"BBGRL",1000,5,"1000_ep0.0075_0_gilbert_9.in",8,74.8668,1503719861319349760
"BBGRL",1000,2,"1000_ep0.0075_0_gilbert_9.in",9,15.6993,1503719938219825920
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_9.in",10,10.4068,1.503719956007e+18
"BBGRL",1000,994,"1000_ep0.01_0_gilbert_4.in",1,56.255,1503719968447290112
"BBGRL",1000,987,"1000_ep0.01_0_gilbert_4.in",2,144.6081,1503720026822101248
"BBGRL",1000,982,"1000_ep0.01_0_gilbert_4.in",3,167.1466,1503720173261146112
"BBGRL",1000,977,"1000_ep0.01_0_gilbert_4.in",4,167.1581,1503720342389243648
"BBGRL",1000,969,"1000_ep0.01_0_gilbert_4.in",5,167.3875,1503720511453090304
"BBGRL",1000,963,"1000_ep0.01_0_gilbert_4.in",6,167.7658,1503720680875225600
"BBGRL",1000,959,"1000_ep0.01_0_gilbert_4.in",7,167.7027,1503720850493980672
"BBGRL",1000,955,"1000_ep0.01_0_gilbert_4.in",8,167.2085,1503721020303857408
"BBGRL",1000,948,"1000_ep0.01_0_gilbert_4.in",9,167.6336,1503721189304743168
"BBGRL",1000,933,"1000_ep0.01_0_gilbert_4.in",10,168.4453,1503721358745477632
"BBGRL",1000,994,"1000_ep0.0125_0_gilbert_4.in",1,65.6442,1503721528980157184
"BBGRL",1000,989,"1000_ep0.0125_0_gilbert_4.in",2,167.2519,1503721596472592384
"BBGRL",1000,984,"1000_ep0.0125_0_gilbert_4.in",3,167.5827,1503721765761688064
"BBGRL",1000,978,"1000_ep0.0125_0_gilbert_4.in",4,169.1635,1503721935396317696
